,Compound.Type,Column,Compound.Name,,IUPAC.Name,InChI.Key.Name,Canon.SMILES.Name
94,Quorum sensing,RP,N-(4-Coumaroyl)-L-homoserine lactone,,3-(4-hydroxyphenyl)-N-[(3S)-2-oxooxolan-3-yl]prop-2-enamide,CCIXZFJYFQJTGK-NSHDSACASA-N,C1COC(=O)C1NC(=O)C=CC2=CC=C(C=C2)O
95,Amino Acid,RP,L-Phenylalanine,,(2S)-2-amino-3-phenylpropanoic acid,COLNVLDHVKWLRT-QMMMGPOBSA-N,C1=CC=C(C=C1)CC(C(=O)O)N
96,New2,RP,O-Propionylcarnitine,,3-propanoyloxy-4-(trimethylazaniumyl)butanoate,UFAHZIUFPNSHSL-UHFFFAOYSA-N,CCC(=O)OC(CC(=O)[O-])C[N+](C)(C)C
97,Vitamin,RP,Pyridoxal,,3-hydroxy-5-(hydroxymethyl)-2-methylpyridine-4-carbaldehyde,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)CO
98,Vitamin,RP,Pyridoxal phosphate,,(4-formyl-5-hydroxy-6-methylpyridin-3-yl)methyl dihydrogen phosphate,NGVDGCNFYWLIFO-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)COP(=O)(O)O
99,Internal Standard,RP,"Pyridoxal, 2H3",,,,
100,Vitamin,RP,Pyridoxamine,,4-(aminomethyl)-5-(hydroxymethyl)-2-methylpyridin-3-ol,NHZMQXZHNVQTQA-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)CN)CO
101,Vitamin rhodopsin,RP,Retinoic acid,,"(2E,4E,6E,8E)-3,7-dimethyl-9-(2,6,6-trimethylcyclohexen-1-yl)nona-2,4,6,8-tetraenoic acid",SHGAZHPCJJPHSC-YCNIQYBTSA-N,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CC(=O)O)C)C
102,Redox,RP,Riboflavin-5-phosphate,,"[(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxobenzo[g]pteridin-10-yl)-2,3,4-trihydroxypentyl] dihydrogen phosphate",FVTCRASFADXXNN-SCRDCRAPSA-N,CC1=CC2=C(C=C1C)N(C3=NC(=O)NC(=O)C3=N2)CC(C(C(COP(=O)(O)O)O)O)O
103,Redox,RP,Riboflavin-5-phosphate,,,,
104,Internal Standard,RP,"Riboflavin-dioxopyrimidine, 13C4, 15N2",,,,
